day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,dtf,vin_label
4.0,1442,28.149515,0.3152351,21.39,28.0,28.389999389648438,0.011198598,0.3899993896484375,0.4876842341899412,0.0013869625520110957,28.138466,28.2,24.530071,19.6,0,0.0,3,756.631,,VIN13_NF_ALT
5.0,779,28.097178,0.14529847,26.39,28.0,28.200000762939453,0.005171283,0.20000076293945312,0.2415383153789567,0.0,28.085331,,24.715384,19.8,0,0.0,1,713.20483,,VIN13_NF_ALT
9.0,290,28.24207,0.33594745,22.8,28.200000762939453,28.389999389648438,0.011895285,0.18999862670898438,0.6872322760465901,0.0034482758620689655,28.244286,28.270847,25.395926,22.8,0,0.0,1,779.743,,VIN13_NF_ALT
21.0,5655,28.166746,0.20098501,26.39,27.799999237060547,28.389999389648438,0.0071355426,0.5900001525878906,0.7435489945638241,0.0,28.055056,28.155764,23.39,,0,0.0,0,693.3096,,VIN13_NF_ALT
22.0,12096,28.234945,0.09107932,27.8,28.200000762939453,28.389999389648438,0.0032257657,0.18999862670898438,0.5322613257022517,0.0,28.238531,28.22028,25.57224,,0,0.0,0,705.1453,,VIN13_NF_ALT
23.0,10603,28.258694,0.09668854,27.6,28.200000762939453,28.389999389648438,0.0034215502,0.18999862670898438,0.6356429476542667,0.0,28.226845,28.271765,25.667995,20.8,0,0.0,1,698.0382,,VIN13_NF_ALT
24.0,7212,28.25424,0.14147614,22.2,28.200000762939453,28.389999389648438,0.0050072535,0.18999862670898438,0.6383231540360041,0.00027731558513588466,28.280659,28.237957,25.39,22.2,0,0.0,1,702.30725,,VIN13_NF_ALT
25.0,27,28.184814,0.07592364,28.0,28.0,28.200000762939453,0.0026937781,0.20000076293945312,0.15841057013179086,0.0,28.153847,,25.800001,,0,0.0,0,1389.4337,,VIN13_NF_ALT
26.0,95,28.203896,0.039526146,28.0,28.200000762939453,28.200000762939453,0.0014014428,0.0,0.14018861839510885,0.0,28.199778,,,,0,0.0,0,652.9856,,VIN13_NF_ALT
29.0,417,28.108755,0.17004372,25.8,28.0,28.200000762939453,0.0060494933,0.20000076293945312,0.098621893169316,0.0,28.073507,,24.21849,,0,0.0,0,1115.1705,,VIN13_NF_ALT
34.0,96,28.141668,0.09138348,28.0,28.0,28.200000762939453,0.003247266,0.20000076293945312,-0.0,0.0,28.114754,,,,0,0.0,0,1034.4379,,VIN13_NF_ALT
35.0,99,28.060606,0.22215025,26.2,27.799999237060547,28.200000762939453,0.007916802,0.40000152587890625,0.2559386135141525,0.0,28.044155,,23.768572,,0,0.0,0,858.6919,,VIN13_NF_ALT
37.0,19,28.28,0.096378185,28.2,28.200000762939453,28.389999389648438,0.003407998,0.18999862670898438,0.6806294878916634,0.0,28.278236,,,,0,0.0,0,769.22156,,VIN13_NF_ALT
43.0,431,29.00262,1.3037599,26.2,27.0,31.0,0.044953175,4.0,2.817454192414378,0.0,28.802076,,10.6,,0,0.0,0,911.6914,,VIN13_NF_ALT
45.0,430,28.966536,1.5336843,20.6,27.090000343322753,31.0,0.05294676,3.909999656677247,2.7956969202194886,0.011627906976744186,28.911219,,24.8,20.6,0,0.0,1,814.70435,,VIN13_NF_ALT
46.0,638,27.870785,1.0970646,20.8,27.389999389648438,28.799999237060547,0.03936253,1.4099998474121094,1.7451378778852535,0.029780564263322883,28.03591,,19.53465,20.6,0,0.0,10,716.35706,,VIN13_NF_ALT
50.0,2355,27.895416,0.45488283,20.8,27.0,28.200000762939453,0.016306723,1.2000007629394531,1.0171230960212847,0.0004246284501061571,27.747202,28.096823,19.90635,20.8,0,0.0,1,844.34735,,VIN13_NF_ALT
51.0,14597,28.188398,0.083407916,27.8,28.0,28.389999389648438,0.0029589448,0.3899993896484375,0.2456763032276607,0.0,28.18922,28.1907,,,0,0.0,0,1145.2837,,VIN13_NF_ALT
52.0,14767,28.17836,0.092014246,26.39,28.0,28.389999389648438,0.0032654223,0.3899993896484375,0.2281990615974506,0.0,28.199585,28.17663,26.6,,0,0.0,0,1057.4318,,VIN13_NF_ALT
53.0,7245,28.194345,0.086977854,27.6,28.0,28.389999389648438,0.0030849397,0.3899993896484375,0.302236363213702,0.0,28.18516,28.193748,24.770716,19.0,0,0.0,1,1086.0424,,VIN13_NF_ALT
54.0,3812,28.183134,0.08037024,27.8,28.0,28.200000762939453,0.0028517141,0.20000076293945312,0.18967939190496141,0.0,28.210188,28.180395,,,0,0.0,0,941.1662,,VIN13_NF_ALT
55.0,2279,28.144823,0.09702563,27.8,28.0,28.200000762939453,0.0034473706,0.20000076293945312,0.10266485595720451,0.0,28.124805,28.16065,,,0,0.0,0,834.9332,,VIN13_NF_ALT
56.0,704,28.162756,0.33792037,19.39,28.0,28.200000762939453,0.011998839,0.20000076293945312,0.021490563487410786,0.0014204545454545455,28.148067,28.189566,24.610796,19.39,0,0.0,1,954.58295,,VIN13_NF_ALT
57.0,303,28.111551,0.099495314,28.0,28.0,28.200000762939453,0.0035393036,0.20000076293945312,-0.0,0.0,28.096722,,24.200003,,0,0.0,0,888.83734,,VIN13_NF_ALT
59.0,119,28.184456,0.1581605,26.6,28.0,28.200000762939453,0.0056116213,0.20000076293945312,0.22246792103871443,0.0,28.199541,,,,0,0.0,0,669.5474,,VIN13_NF_ALT
62.0,351,28.160059,0.08267346,28.0,28.0,28.200000762939453,0.0029358412,0.20000076293945312,0.035126977853994115,0.0,28.148941,28.2,26.39,,0,0.0,0,884.7632,,VIN13_NF_ALT
63.0,161,28.248138,0.09392234,28.0,28.200000762939453,28.389999389648438,0.0033249038,0.18999862670898438,0.5924834071707816,0.0,28.246897,,,,0,0.0,0,664.8706,,VIN13_NF_ALT
64.0,592,28.184072,0.057560407,28.0,28.0,28.200000762939453,0.0020423026,0.20000076293945312,0.03183626488942982,0.0,28.183744,28.192858,,,0,0.0,0,888.2529,,VIN13_NF_ALT
65.0,213,28.222113,0.07212205,28.0,28.200000762939453,28.389999389648438,0.0025555156,0.18999862670898438,0.3979130179645373,0.0,28.20122,28.238,,,0,0.0,0,815.4672,,VIN13_NF_ALT
66.0,610,28.217264,0.17940286,24.8,28.200000762939453,28.389999389648438,0.006357911,0.18999862670898438,0.4973209233650677,0.0,28.219189,28.2,25.9,,0,0.0,0,723.88617,,VIN13_NF_ALT
70.0,190,28.219896,0.065018855,28.0,28.200000762939453,28.389999389648438,0.0023040075,0.18999862670898438,0.3584510062992733,0.0,28.221235,,,,0,0.0,0,615.2054,,VIN13_NF_ALT
