vin_label,earliest_discriminative_horizon_days,feature,z,ged2_total,n_days_final_30d,verdict
VIN6_F_ALT,60,vsi_sag_frac,10.33,0,31,discriminative_precursor
VIN9_F_ALT,none,,,0,24,no_discriminative_precursor
VIN3_F_ALT,none,,,0,0,no_discriminative_precursor
VIN2_F_ALT,14,crank_vsi_min,-3.13,0,25,discriminative_precursor
VIN4_F_ALT,none,,,0,28,no_discriminative_precursor
VIN10_F_ALT,7,vsi_sag_frac,222.88,2897,24,discriminative_precursor
VIN7_F_ALT,none,,,0,29,no_discriminative_precursor
VIN1_F_ALT,30,ged2_frac,2156.66,82357,17,discriminative_precursor
VIN5_F_ALT,none,,,0,30,no_discriminative_precursor
VIN8_F_ALT,7,resting_vsi_mean,-2.41,0,3,discriminative_precursor
