vin_label,horizon_days,n_days,feature,window_mean,baseline_mean,z_vs_baseline,nf_p05,nf_p95,discriminative
VIN6_F_ALT,90,30,vsi_mean,28.1655,28.189199447631836,-0.59,27.802,28.2432,False
VIN6_F_ALT,90,30,vsi_std,0.1016,0.10859999805688858,-0.1,0.0804,0.4849,False
VIN6_F_ALT,90,30,vsi_cv,0.0036,0.0038999998942017555,-0.1,0.0029,0.0172,False
VIN6_F_ALT,90,30,vsi_min,25.418,25.555999755859375,-0.06,20.2,27.8,False
VIN6_F_ALT,90,30,vsi_p05,28.0333,28.0234,0.11,27.4,28.0,False
VIN6_F_ALT,90,30,vsi_range,0.2237,0.286,-0.27,0.2,1.4,False
VIN6_F_ALT,90,30,vsi_entropy,0.1625,0.2692,-0.49,0.061,1.8878,False
VIN6_F_ALT,90,30,vsi_sag_frac,0.0001,0.0001,0.04,0.0,0.0016,False
VIN6_F_ALT,90,30,idle_vsi_mean,28.1485,28.20949935913086,-1.12,27.7998,28.2619,False
VIN6_F_ALT,90,30,cruise_vsi_mean,28.172,28.17569923400879,-0.12,27.7962,28.2491,False
VIN6_F_ALT,90,30,resting_vsi_mean,25.4346,25.356000900268555,0.08,23.589,26.39,False
VIN6_F_ALT,90,30,crank_vsi_min,22.297,22.201499938964844,0.05,16.39,24.8,False
VIN6_F_ALT,90,30,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,90,30,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,90,30,sma_starts,0.3667,0.5771,-0.23,0.0,3.0,False
VIN6_F_ALT,90,30,rpm_mean,979.2316,989.9963989257812,-0.15,725.2306,1100.9621,False
VIN6_F_ALT,60,7,vsi_mean,28.0943,28.189199447631836,-2.36,27.802,28.2432,False
VIN6_F_ALT,60,7,vsi_std,0.2084,0.10859999805688858,1.41,0.0804,0.4849,False
VIN6_F_ALT,60,7,vsi_cv,0.0074,0.0038999998942017555,1.44,0.0029,0.0172,False
VIN6_F_ALT,60,7,vsi_min,24.7129,25.555999755859375,-0.39,20.2,27.8,False
VIN6_F_ALT,60,7,vsi_p05,27.9714,28.0234,-0.59,27.4,28.0,False
VIN6_F_ALT,60,7,vsi_range,0.2286,0.286,-0.25,0.2,1.4,False
VIN6_F_ALT,60,7,vsi_entropy,0.1656,0.2692,-0.47,0.061,1.8878,False
VIN6_F_ALT,60,7,vsi_sag_frac,0.0019,0.0001,10.33,0.0,0.0016,True
VIN6_F_ALT,60,7,idle_vsi_mean,28.0684,28.20949935913086,-2.59,27.7998,28.2619,False
VIN6_F_ALT,60,7,cruise_vsi_mean,28.1135,28.17569923400879,-2.07,27.7962,28.2491,False
VIN6_F_ALT,60,7,resting_vsi_mean,25.1097,25.356000900268555,-0.26,23.589,26.39,False
VIN6_F_ALT,60,7,crank_vsi_min,21.1,22.201499938964844,-0.59,16.39,24.8,False
VIN6_F_ALT,60,7,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,60,7,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,60,7,sma_starts,0.7143,0.5771,0.15,0.0,3.0,False
VIN6_F_ALT,60,7,rpm_mean,999.499,989.9963989257812,0.13,725.2306,1100.9621,False
VIN6_F_ALT,45,12,vsi_mean,28.0999,28.189199447631836,-2.22,27.802,28.2432,False
VIN6_F_ALT,45,12,vsi_std,0.1915,0.10859999805688858,1.17,0.0804,0.4849,False
VIN6_F_ALT,45,12,vsi_cv,0.0068,0.0038999998942017555,1.2,0.0029,0.0172,False
VIN6_F_ALT,45,12,vsi_min,24.015,25.555999755859375,-0.71,20.2,27.8,False
VIN6_F_ALT,45,12,vsi_p05,27.919,28.0234,-1.19,27.4,28.0,False
VIN6_F_ALT,45,12,vsi_range,0.281,0.286,-0.02,0.2,1.4,False
VIN6_F_ALT,45,12,vsi_entropy,0.2195,0.2692,-0.23,0.061,1.8878,False
VIN6_F_ALT,45,12,vsi_sag_frac,0.0005,0.0001,2.56,0.0,0.0016,False
VIN6_F_ALT,45,12,idle_vsi_mean,28.0757,28.20949935913086,-2.45,27.7998,28.2619,False
VIN6_F_ALT,45,12,cruise_vsi_mean,28.1712,28.17569923400879,-0.15,27.7962,28.2491,False
VIN6_F_ALT,45,12,resting_vsi_mean,25.1241,25.356000900268555,-0.25,23.589,26.39,False
VIN6_F_ALT,45,12,crank_vsi_min,18.6488,22.201499938964844,-1.92,16.39,24.8,False
VIN6_F_ALT,45,12,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,45,12,sma_starts,1.3333,0.5771,0.82,0.0,3.0,False
VIN6_F_ALT,45,12,rpm_mean,900.9648,989.9963989257812,-1.24,725.2306,1100.9621,False
VIN6_F_ALT,30,16,vsi_mean,28.1469,28.189199447631836,-1.05,27.802,28.2432,False
VIN6_F_ALT,30,16,vsi_std,0.1346,0.10859999805688858,0.37,0.0804,0.4849,False
VIN6_F_ALT,30,16,vsi_cv,0.0048,0.0038999998942017555,0.38,0.0029,0.0172,False
VIN6_F_ALT,30,16,vsi_min,23.7487,25.555999755859375,-0.84,20.2,27.8,False
VIN6_F_ALT,30,16,vsi_p05,28.0,28.0234,-0.27,27.4,28.0,False
VIN6_F_ALT,30,16,vsi_range,0.2,0.286,-0.38,0.2,1.4,False
VIN6_F_ALT,30,16,vsi_entropy,0.142,0.2692,-0.58,0.061,1.8878,False
VIN6_F_ALT,30,16,vsi_sag_frac,0.0002,0.0001,0.47,0.0,0.0016,False
VIN6_F_ALT,30,16,idle_vsi_mean,28.1343,28.20949935913086,-1.38,27.7998,28.2619,False
VIN6_F_ALT,30,16,cruise_vsi_mean,28.1625,28.17569923400879,-0.44,27.7962,28.2491,False
VIN6_F_ALT,30,16,resting_vsi_mean,24.3539,25.356000900268555,-1.08,23.589,26.39,False
VIN6_F_ALT,30,16,crank_vsi_min,18.4173,22.201499938964844,-2.04,16.39,24.8,False
VIN6_F_ALT,30,16,ged2_cnt,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,ged2_frac,0.0,0.0,,0.0,0.0,False
VIN6_F_ALT,30,16,sma_starts,0.75,0.5771,0.19,0.0,3.0,False
VIN6_F_ALT,30,16,rpm_mean,928.3022,989.9963989257812,-0.86,725.2306,1100.9621,False
VIN6_F_ALT,14,7,vsi_mean,28.1077,28.189199447631836,-2.03,27.802,28.2432,False
VIN6_F_ALT,14,7,vsi_std,0.1387,0.10859999805688858,0.42,0.0804,0.4849,False
VIN6_F_ALT,14,7,vsi_cv,0.0049,0.0038999998942017555,0.44,0.0029,0.0172,False
VIN6_F_ALT,14,7,vsi_min,24.5971,25.555999755859375,-0.44,20.2,27.8,False
VIN6_F_ALT,14,7,vsi_p05,28.0,28.0234,-0.27,27.4,28.0,False
VIN6_F_ALT,14,7,vsi_range,0.2,0.286,-0.38,0.2,1.4,False
