vin_label,failed_flag,ever_fired,n_fire_days,first_fire_lead_days,total_ged2_lifetime,daily_threshold
VIN1_F_ALT,1,True,11,21.0,82357,200
VIN10_F_ALT,1,True,1,1.0,2897,200
VIN2_F_ALT,1,False,0,,0,200
VIN3_F_ALT,1,False,0,,0,200
VIN4_F_ALT,1,False,0,,0,200
VIN5_F_ALT,1,False,0,,0,200
VIN6_F_ALT,1,False,0,,0,200
VIN7_F_ALT,1,False,0,,0,200
VIN8_F_ALT,1,False,0,,0,200
VIN9_F_ALT,1,False,0,,0,200
VIN1_NF_ALT,0,False,0,,0,200
VIN2_NF_ALT,0,False,0,,0,200
VIN3_NF_ALT,0,False,0,,0,200
VIN4_NF_ALT,0,False,0,,98,200
VIN5_NF_ALT,0,False,0,,0,200
VIN6_NF_ALT,0,False,0,,0,200
VIN7_NF_ALT,0,False,0,,0,200
VIN8_NF_ALT,0,False,0,,1,200
VIN9_NF_ALT,0,False,0,,1,200
VIN10_NF_ALT,0,False,0,,0,200
VIN11_NF_ALT,0,False,0,,315,200
VIN12_NF_ALT,0,False,0,,0,200
VIN13_NF_ALT,0,False,0,,0,200
VIN14_NF_ALT,0,False,0,,0,200
VIN15_NF_ALT,0,False,0,,27,200
