vin_label,failed_flag,lifecycle_stage,age_days_observed,est_km,est_engine_hrs,km_is_estimated_x,ttf_days,current_age_days,median_rul_days,rul_p10_days,rul_p90_days,pi_width_days,km_per_day_est,ehrs_per_day_est,median_rul_km,rul_p10_km,rul_p90_km,median_rul_ehrs,rul_p10_ehrs,rul_p90_ehrs,km_is_estimated_y,ridge_prob,ridge_band,risk_tier,timing_flag,ged_emergency,risk_confidence,timing_confidence,recommendation,would_have_flagged_lead_days,km_is_estimated
VIN1_F_ALT,True,MID,596,135365.16,5328.24,True,596.0,596.0,0.0,0.0,0.0,0.0,227.12,8.94,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6058,RED,,,True,,,Post-hoc: alternator already failed (in dataset).,21.0,
VIN10_F_ALT,True,MID,472,123992.53,4635.04,True,472.0,472.0,0.0,0.0,0.0,0.0,262.7,9.82,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6263,RED,,,True,,,Post-hoc: alternator already failed (in dataset).,1.0,
VIN2_F_ALT,True,MID,627,104472.74,3887.4,True,627.0,627.0,0.0,0.0,0.0,0.0,166.62,6.2,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6085,RED,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN3_F_ALT,True,LATE,591,152634.34,4787.099999999999,True,591.0,591.0,0.0,0.0,0.0,0.0,258.26,8.1,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7603,RED,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN4_F_ALT,True,MID,664,115517.38,3798.08,True,664.0,664.0,0.0,0.0,0.0,0.0,173.97,5.72,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4456,AMBER,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN5_F_ALT,True,MID,661,108462.41,4501.41,True,661.0,661.0,0.0,0.0,0.0,0.0,164.09,6.81,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2799,GREEN,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN6_F_ALT,True,MID,552,119166.2,3979.92,True,552.0,552.0,0.0,0.0,0.0,0.0,215.88,7.21,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7112,RED,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN7_F_ALT,True,MID,673,112798.02,4758.110000000001,True,673.0,673.0,0.0,0.0,0.0,0.0,167.6,7.07,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7178,RED,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN8_F_ALT,True,MID,573,121845.69,4950.72,True,573.0,573.0,0.0,0.0,0.0,0.0,212.65,8.64,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8923,RED,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN9_F_ALT,True,LATE,606,172910.6,5920.62,True,606.0,606.0,0.0,0.0,0.0,0.0,285.33,9.77,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4919,AMBER,,,False,,,Post-hoc: alternator already failed (in dataset).,no_precursor,
VIN1_NF_ALT,False,MID,747,122670.52,5893.83,True,,747.0,97.3,13.9,316.6,302.7,164.22,7.89,15975.0,2284.0,51991.0,767.6,109.7,2497.9,True,0.2553,GREEN,LOW_RISK,NEAR_TERM,False,HIGH,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN10_NF_ALT,False,MID,761,116797.86,4223.55,True,,761.0,88.5,15.8,238.6,222.8,153.48,5.55,13582.0,2418.0,36614.0,491.1,87.4,1324.0,True,0.4389,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN11_NF_ALT,False,MID,766,139904.19,6955.28,True,,766.0,87.0,15.9,231.6,215.7,182.64,9.08,15884.0,2911.0,42304.0,789.7,144.7,2103.1,True,0.2559,GREEN,LOW_RISK,NEAR_TERM,False,HIGH,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN12_NF_ALT,False,MID,581,117417.7,4119.29,True,,581.0,183.0,44.2,371.4,327.2,202.1,7.09,36993.0,8923.0,75053.0,1297.8,313.0,2633.0,True,0.0421,GREEN,LOW_RISK,NEAR_TERM,False,HIGH,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN13_NF_ALT,False,MID,691,117562.78,4712.62,True,,691.0,118.4,23.8,283.4,259.5,170.13,6.82,20152.0,4053.0,48209.0,807.8,162.5,1932.5,True,0.2104,GREEN,LOW_RISK,NEAR_TERM,False,HIGH,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN14_NF_ALT,False,MID,656,130089.77,4782.24,True,,656.0,137.7,28.5,309.2,280.6,198.31,7.29,27298.0,5653.0,61307.0,1003.5,207.8,2253.7,True,0.3162,GREEN,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN2_NF_ALT,False,MID,758,117538.55,4366.08,True,,758.0,89.5,16.4,236.9,220.5,155.06,5.76,13884.0,2542.0,36739.0,515.7,94.4,1364.7,True,0.3956,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN3_NF_ALT,False,MID,693,132387.34,4594.59,True,,693.0,116.2,22.9,280.6,257.7,191.04,6.63,22198.0,4383.0,53604.0,770.4,152.1,1860.4,True,0.4906,AMBER,HIGH_RISK,NEAR_TERM,False,MEDIUM,LOW,CRITICAL: high failure risk and near fleet-replacement age — schedule inspection now.,,
VIN4_NF_ALT,False,MID,685,104136.68,5459.45,True,,685.0,123.5,23.9,287.8,263.9,152.02,7.97,18782.0,3633.0,43757.0,984.7,190.5,2294.0,True,0.4257,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN5_NF_ALT,False,MID,721,115156.59,4499.04,True,,721.0,105.5,19.8,265.2,245.3,159.72,6.24,16854.0,3169.0,42352.0,658.5,123.8,1654.7,True,0.325,GREEN,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN6_NF_ALT,False,LATE,727,169535.28,5045.38,True,,727.0,102.4,18.8,256.6,237.9,233.2,6.94,23883.0,4380.0,59847.0,710.8,130.4,1781.1,True,0.4133,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN7_NF_ALT,False,MID,719,130094.06,4112.679999999999,True,,719.0,106.4,20.2,262.5,242.4,180.94,5.72,19244.0,3647.0,47502.0,608.4,115.3,1501.7,True,0.4116,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN8_NF_ALT,False,MID,513,114941.71,5047.92,True,,513.0,234.5,67.5,428.1,360.6,224.06,9.84,52532.0,15113.0,95914.0,2307.1,663.7,4212.3,True,0.3934,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN9_NF_ALT,False,LATE,574,156358.18,5079.9,True,,574.0,189.5,47.3,377.0,329.7,272.4,8.85,51630.0,12892.0,102699.0,1677.4,418.8,3336.6,True,0.1053,GREEN,LOW_RISK,NEAR_TERM,False,HIGH,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
VIN15_NF_ALT,False,MID,634,149991.94,5541.16,True,,634.0,151.0,32.9,325.5,292.6,236.58,8.74,35721.0,7783.0,76997.0,1319.6,287.5,2844.5,True,0.3987,AMBER,LOW_RISK,NEAR_TERM,False,MEDIUM,LOW,Watch: near fleet-replacement age but low classifier risk — review at next depot visit.,,
