vin_label,variant,horizon,ttf,age_at_rewind,x1,x2,median_rul,err_model,err_dummy,pi_lo,pi_hi,covered,width
VIN10_F_ALT,M0,270,472.0,202.0,1.0986,0,528.8,258.8,134.0,303.9,732.5,False,428.6
VIN10_F_ALT,M0,180,472.0,292.0,1.3863,0,439.9,259.9,134.0,231.2,647.5,False,416.3
VIN10_F_ALT,M0,90,472.0,382.0,1.6094,0,362.1,272.1,134.0,155.2,552.0,False,396.8
VIN10_F_ALT,M1,270,472.0,202.0,1.0986,0,527.0,257.0,134.0,291.8,759.0,False,467.2
VIN10_F_ALT,M1,180,472.0,292.0,1.3863,0,467.3,287.3,134.0,229.4,708.2,False,478.8
VIN10_F_ALT,M1,90,472.0,382.0,1.6094,0,401.1,311.1,134.0,159.3,629.3,False,470.0
VIN10_F_ALT,M2,270,472.0,202.0,1.0986,0,554.4,284.4,134.0,316.5,775.0,False,458.5
VIN10_F_ALT,M2,180,472.0,292.0,1.3863,0,481.2,301.2,134.0,254.5,704.0,False,449.5
VIN10_F_ALT,M2,90,472.0,382.0,1.6094,0,399.6,309.6,134.0,180.5,645.1,False,464.6
VIN1_F_ALT,M0,270,596.0,326.0,1.9459,0,403.6,133.6,10.0,184.0,609.9,True,425.8
VIN1_F_ALT,M0,180,596.0,416.0,1.9459,0,322.0,142.0,10.0,120.5,534.6,True,414.1
VIN1_F_ALT,M0,90,596.0,506.0,2.0794,0,240.5,150.5,10.0,67.9,434.9,True,367.0
VIN1_F_ALT,M1,270,596.0,326.0,1.9459,0,460.7,190.7,10.0,210.5,738.4,True,527.8
VIN1_F_ALT,M1,180,596.0,416.0,1.9459,0,389.9,209.9,10.0,140.7,661.9,True,521.2
VIN1_F_ALT,M1,90,596.0,506.0,2.0794,0,302.9,212.9,10.0,90.7,580.6,False,490.0
VIN1_F_ALT,M2,270,596.0,326.0,1.9459,0,486.0,216.0,10.0,231.1,757.8,True,526.7
VIN1_F_ALT,M2,180,596.0,416.0,1.9459,0,385.6,205.6,10.0,149.3,662.1,True,512.8
VIN1_F_ALT,M2,90,596.0,506.0,2.0794,0,325.7,235.7,10.0,107.3,582.5,False,475.2
VIN2_F_ALT,M0,270,627.0,357.0,1.0986,0,385.5,115.5,31.0,166.6,593.4,True,426.7
VIN2_F_ALT,M0,180,627.0,447.0,1.0986,0,287.5,107.5,31.0,103.2,495.6,True,392.4
VIN2_F_ALT,M0,90,627.0,537.0,1.0986,0,227.8,137.8,31.0,58.4,419.8,True,361.4
VIN2_F_ALT,M1,270,627.0,357.0,1.0986,0,389.1,119.1,31.0,154.4,638.4,True,484.0
VIN2_F_ALT,M1,180,627.0,447.0,1.0986,0,294.5,114.5,31.0,99.3,539.9,True,440.5
VIN2_F_ALT,M1,90,627.0,537.0,1.0986,0,239.5,149.5,31.0,60.7,456.2,True,395.5
VIN2_F_ALT,M2,270,627.0,357.0,1.0986,0,402.3,132.3,31.0,184.6,632.1,True,447.6
VIN2_F_ALT,M2,180,627.0,447.0,1.0986,0,334.0,154.0,31.0,118.7,551.6,True,432.9
VIN2_F_ALT,M2,90,627.0,537.0,1.0986,0,252.9,162.9,31.0,65.3,461.9,True,396.5
VIN3_F_ALT,M0,270,591.0,321.0,2.0794,0,412.7,142.7,15.0,183.9,625.3,True,441.4
