vin_label,failed_flag,t_end,x1,x2
VIN1_F_ALT,1,596.0,2.3979,1
VIN10_F_ALT,1,472.0,1.9459,1
VIN2_F_ALT,1,627.0,1.3863,0
VIN3_F_ALT,1,591.0,2.6391,0
VIN4_F_ALT,1,664.0,1.7918,0
VIN5_F_ALT,1,661.0,0.0,0
VIN6_F_ALT,1,552.0,0.6931,0
VIN7_F_ALT,1,673.0,0.6931,0
VIN8_F_ALT,1,573.0,0.6931,0
VIN9_F_ALT,1,606.0,1.6094,0
VIN1_NF_ALT,0,747.0,0.0,0
VIN10_NF_ALT,0,761.0,1.6094,0
VIN11_NF_ALT,0,766.0,1.7918,0
VIN12_NF_ALT,0,581.0,1.0986,0
VIN13_NF_ALT,0,691.0,0.6931,0
VIN14_NF_ALT,0,656.0,0.6931,0
VIN2_NF_ALT,0,758.0,1.6094,0
VIN3_NF_ALT,0,693.0,2.9957,0
VIN4_NF_ALT,0,685.0,3.1355,0
VIN5_NF_ALT,0,721.0,3.3322,0
VIN6_NF_ALT,0,727.0,0.0,0
VIN7_NF_ALT,0,719.0,2.8332,0
VIN8_NF_ALT,0,513.0,4.0073,0
VIN9_NF_ALT,0,574.0,2.1972,0
VIN15_NF_ALT,0,634.0,3.4965,0
