vin_label,failed_flag,ged_fired,ged_lead_days,exceed_fired,exceed_lead_days,exceed_k,compound_fired,compound_lead_days,any_fired,compound_current,exceed_current,early_watch_current
VIN1_F_ALT,1,True,21.0,False,,10,True,52.0,True,1,0,1
VIN10_F_ALT,1,True,1.0,False,,10,True,1.0,True,1,0,1
VIN2_F_ALT,1,False,,False,,10,False,,False,0,0,0
VIN3_F_ALT,1,False,,False,,10,False,,False,0,0,0
VIN4_F_ALT,1,False,,False,,10,True,183.0,True,0,0,0
VIN5_F_ALT,1,False,,False,,10,False,,False,0,0,0
VIN6_F_ALT,1,False,,False,,10,False,,False,0,0,0
VIN7_F_ALT,1,False,,False,,10,False,,False,0,0,0
VIN8_F_ALT,1,False,,False,,10,True,559.0,True,1,0,1
VIN9_F_ALT,1,False,,False,,10,True,586.0,True,0,0,0
VIN1_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN10_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN11_NF_ALT,0,False,,False,,10,True,,True,0,0,0
VIN12_NF_ALT,0,False,,False,,10,True,,True,0,0,0
VIN13_NF_ALT,0,False,,False,,10,True,,True,0,0,0
VIN14_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN2_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN3_NF_ALT,0,False,,False,,10,False,,False,0,1,0
VIN4_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN5_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN6_NF_ALT,0,False,,False,,10,True,,True,0,0,0
VIN7_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN8_NF_ALT,0,False,,True,,10,True,,True,0,0,0
VIN9_NF_ALT,0,False,,False,,10,False,,False,0,0,0
VIN15_NF_ALT,0,False,,True,,10,True,,True,0,0,0
