vin_label,failed_flag,ridge_prob,risk_band,above_thr,time_dim,emergency_state,recommendation
VIN1_F_ALT,1,0.6058,red,True,SHORT,emergency,FAILED — historical record
VIN2_F_ALT,1,0.6085,red,True,SHORT,none,FAILED — historical record
VIN3_F_ALT,1,0.7603,red,True,SHORT,none,FAILED — historical record
VIN4_F_ALT,1,0.4456,amber,True,SHORT,none,FAILED — historical record
VIN5_F_ALT,1,0.2799,green,False,SHORT,none,FAILED — historical record
VIN6_F_ALT,1,0.7112,red,True,SHORT,none,FAILED — historical record
VIN7_F_ALT,1,0.7178,red,True,SHORT,none,FAILED — historical record
VIN8_F_ALT,1,0.8923,red,True,SHORT,early-watch,FAILED — historical record
VIN9_F_ALT,1,0.4919,amber,True,SHORT,none,FAILED — historical record
VIN10_F_ALT,1,0.6263,red,True,SHORT,emergency,FAILED — historical record
VIN1_NF_ALT,0,0.2553,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN2_NF_ALT,0,0.3956,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN3_NF_ALT,0,0.4906,amber,True,SHORT,none,Routine monitoring — within fleet wear-out window
VIN4_NF_ALT,0,0.4257,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN5_NF_ALT,0,0.325,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN6_NF_ALT,0,0.4133,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN7_NF_ALT,0,0.4116,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN8_NF_ALT,0,0.3934,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN9_NF_ALT,0,0.1053,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN10_NF_ALT,0,0.4389,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN11_NF_ALT,0,0.2559,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN12_NF_ALT,0,0.0421,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN13_NF_ALT,0,0.2104,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN14_NF_ALT,0,0.3162,green,False,SHORT,none,Routine monitoring — within fleet wear-out window
VIN15_NF_ALT,0,0.3987,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window
