vin_label,failed_flag,lifecycle_stage,current_age_days,x1,x2,variant,median_rul_days,rul_p10_days,rul_p90_days,pi_width_days,km_per_day_est,ehrs_per_day_est,median_rul_km,rul_p10_km,rul_p90_km,median_rul_ehrs,rul_p10_ehrs,rul_p90_ehrs,km_is_estimated,ridge_prob,risk_band,above_thr,time_dim,emergency_state,recommendation,ged_fired,compound_current,early_watch_current,fleet_window_median_days
VIN10_NF_ALT,0,MID,761.0,1.6094,0.0,M0,88.5,15.8,238.6,222.8,153.48,5.55,13582.0,2418.0,36614.0,491.1,87.4,1324.0,True,0.4389,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN2_NF_ALT,0,MID,758.0,1.6094,0.0,M0,89.5,16.4,236.9,220.5,155.06,5.76,13884.0,2542.0,36739.0,515.7,94.4,1364.7,True,0.3956,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN6_NF_ALT,0,LATE,727.0,0.0,0.0,M0,102.4,18.8,256.6,237.9,233.2,6.94,23883.0,4380.0,59847.0,710.8,130.4,1781.1,True,0.4133,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN7_NF_ALT,0,MID,719.0,2.8332,0.0,M0,106.4,20.2,262.5,242.4,180.94,5.72,19244.0,3647.0,47502.0,608.4,115.3,1501.7,True,0.4116,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN3_NF_ALT,0,MID,693.0,2.9957,0.0,M0,116.2,22.9,280.6,257.7,191.04,6.63,22198.0,4383.0,53604.0,770.4,152.1,1860.4,True,0.4906,amber,True,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN4_NF_ALT,0,MID,685.0,3.1355,0.0,M0,123.5,23.9,287.8,263.9,152.02,7.97,18782.0,3633.0,43757.0,984.7,190.5,2294.0,True,0.4257,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN15_NF_ALT,0,MID,634.0,3.4965,0.0,M0,151.0,32.9,325.5,292.6,236.58,8.74,35721.0,7783.0,76997.0,1319.6,287.5,2844.5,True,0.3987,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN8_NF_ALT,0,MID,513.0,4.0073,0.0,M0,234.5,67.5,428.1,360.6,224.06,9.84,52532.0,15113.0,95914.0,2307.1,663.7,4212.3,True,0.3934,amber,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN11_NF_ALT,0,MID,766.0,1.7918,0.0,M0,87.0,15.9,231.6,215.7,182.64,9.08,15884.0,2911.0,42304.0,789.7,144.7,2103.1,True,0.2559,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN1_NF_ALT,0,MID,747.0,0.0,0.0,M0,97.3,13.9,316.6,302.7,164.22,7.89,15975.0,2284.0,51991.0,767.6,109.7,2497.9,True,0.2553,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN5_NF_ALT,0,MID,721.0,3.3322,0.0,M0,105.5,19.8,265.2,245.3,159.72,6.24,16854.0,3169.0,42352.0,658.5,123.8,1654.7,True,0.325,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN13_NF_ALT,0,MID,691.0,0.6931,0.0,M0,118.4,23.8,283.4,259.5,170.13,6.82,20152.0,4053.0,48209.0,807.8,162.5,1932.5,True,0.2104,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN14_NF_ALT,0,MID,656.0,0.6931,0.0,M0,137.7,28.5,309.2,280.6,198.31,7.29,27298.0,5653.0,61307.0,1003.5,207.8,2253.7,True,0.3162,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN12_NF_ALT,0,MID,581.0,1.0986,0.0,M0,183.0,44.2,371.4,327.2,202.1,7.09,36993.0,8923.0,75053.0,1297.8,313.0,2633.0,True,0.0421,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN9_NF_ALT,0,LATE,574.0,2.1972,0.0,M0,189.5,47.3,377.0,329.7,272.4,8.85,51630.0,12892.0,102699.0,1677.4,418.8,3336.6,True,0.1053,green,False,SHORT,none,Routine monitoring — within fleet wear-out window,False,0,0,601.0
VIN1_F_ALT,1,MID,596.0,,,M0,0.0,0.0,0.0,0.0,227.12,8.94,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6058,red,True,SHORT,emergency,FAILED — historical record,True,1,1,601.0
VIN10_F_ALT,1,MID,472.0,,,M0,0.0,0.0,0.0,0.0,262.7,9.82,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6263,red,True,SHORT,emergency,FAILED — historical record,True,1,1,601.0
VIN2_F_ALT,1,MID,627.0,,,M0,0.0,0.0,0.0,0.0,166.62,6.2,0.0,0.0,0.0,0.0,0.0,0.0,True,0.6085,red,True,SHORT,none,FAILED — historical record,False,0,0,601.0
VIN3_F_ALT,1,LATE,591.0,,,M0,0.0,0.0,0.0,0.0,258.26,8.1,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7603,red,True,SHORT,none,FAILED — historical record,False,0,0,601.0
VIN6_F_ALT,1,MID,552.0,,,M0,0.0,0.0,0.0,0.0,215.88,7.21,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7112,red,True,SHORT,none,FAILED — historical record,False,0,0,601.0
VIN7_F_ALT,1,MID,673.0,,,M0,0.0,0.0,0.0,0.0,167.6,7.07,0.0,0.0,0.0,0.0,0.0,0.0,True,0.7178,red,True,SHORT,none,FAILED — historical record,False,0,0,601.0
VIN8_F_ALT,1,MID,573.0,,,M0,0.0,0.0,0.0,0.0,212.65,8.64,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8923,red,True,SHORT,early-watch,FAILED — historical record,False,1,1,601.0
VIN4_F_ALT,1,MID,664.0,,,M0,0.0,0.0,0.0,0.0,173.97,5.72,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4456,amber,True,SHORT,none,FAILED — historical record,False,0,0,601.0
VIN9_F_ALT,1,LATE,606.0,,,M0,0.0,0.0,0.0,0.0,285.33,9.77,0.0,0.0,0.0,0.0,0.0,0.0,True,0.4919,amber,True,SHORT,none,FAILED — historical record,False,0,0,601.0
VIN5_F_ALT,1,MID,661.0,,,M0,0.0,0.0,0.0,0.0,164.09,6.81,0.0,0.0,0.0,0.0,0.0,0.0,True,0.2799,green,False,SHORT,none,FAILED — historical record,False,0,0,601.0
