t_days,S_t,S_lower,S_upper
0,1.0,1.0,1.0
10,1.0,1.0,1.0
20,1.0,1.0,1.0
30,1.0,0.999998,1.0
40,1.0,0.999992,1.0
50,0.999999,0.999981,1.0
60,0.999998,0.999962,1.0
70,0.999996,0.999929,1.0
80,0.999992,0.99988,1.0
90,0.999985,0.999807,0.999999
100,0.999974,0.999708,0.999998
110,0.999957,0.999572,0.999996
120,0.999933,0.999396,0.999994
130,0.999899,0.999176,0.99999
140,0.999852,0.998888,0.999983
150,0.999788,0.99853,0.999974
160,0.999704,0.9981,0.99996
170,0.999595,0.997574,0.999941
180,0.999457,0.996948,0.999915
190,0.999281,0.996207,0.99988
200,0.999064,0.995367,0.999833
210,0.998795,0.994377,0.999773
220,0.998468,0.993262,0.999694
230,0.998073,0.991952,0.999591
240,0.9976,0.990445,0.999462
250,0.997038,0.988836,0.999302
260,0.996374,0.987042,0.999107
270,0.995595,0.984963,0.998864
280,0.994687,0.982611,0.998564
290,0.993634,0.980061,0.998205
300,0.99242,0.97723,0.997774
310,0.991027,0.974104,0.997247
320,0.989437,0.970565,0.996617
330,0.987628,0.96685,0.99589
340,0.98558,0.962638,0.995032
350,0.98327,0.958147,0.994008
360,0.980675,0.953085,0.99285
370,0.977769,0.947555,0.991476
380,0.974528,0.941611,0.989914
390,0.970924,0.935446,0.988171
400,0.966929,0.928666,0.986087
410,0.962515,0.921226,0.983783
420,0.957652,0.913576,0.981122
430,0.952312,0.90513,0.978132
440,0.946462,0.896136,0.97472
450,0.940073,0.887451,0.970788
460,0.933114,0.877283,0.966537
470,0.925554,0.866876,0.961861
480,0.917364,0.856037,0.956605
490,0.908513,0.844258,0.950788
500,0.898975,0.83174,0.94447
510,0.888721,0.819043,0.937617
520,0.877727,0.804925,0.930175
530,0.86597,0.790987,0.921748
540,0.853428,0.775805,0.91243
550,0.840085,0.76111,0.902261
560,0.825926,0.745295,0.891508
570,0.81094,0.72905,0.879489
580,0.795121,0.710068,0.867472
590,0.778469,0.692211,0.854599
600,0.760985,0.671942,0.841361
610,0.742681,0.652964,0.827431
620,0.723571,0.631566,0.81221
630,0.703676,0.609907,0.795072
640,0.683026,0.586782,0.777702
650,0.661655,0.564814,0.760151
660,0.639605,0.541234,0.74163
670,0.616926,0.515978,0.722045
680,0.593676,0.491522,0.702965
690,0.569916,0.466588,0.682286
700,0.545719,0.440234,0.661949
710,0.52116,0.415122,0.642542
720,0.496324,0.38945,0.620988
730,0.471299,0.364628,0.59908
740,0.446178,0.338501,0.577331
750,0.421059,0.311957,0.556675
760,0.39604,0.286407,0.53581
770,0.371225,0.260574,0.511925
780,0.346715,0.235546,0.489107
790,0.322613,0.212396,0.46665
800,0.299017,0.190018,0.44563
810,0.276024,0.167651,0.424769
820,0.253725,0.147207,0.4052
830,0.232206,0.128112,0.385463
840,0.211546,0.110456,0.364757
850,0.191812,0.09521,0.346126
860,0.173066,0.081779,0.32739
870,0.155357,0.068689,0.307453
880,0.138724,0.056439,0.288313
890,0.123193,0.045618,0.27027
900,0.10878,0.036122,0.251537
910,0.09549,0.029035,0.234888
920,0.083312,0.023341,0.219034
930,0.07223,0.018161,0.204229
940,0.062214,0.013914,0.190329
950,0.053226,0.010455,0.175669
960,0.045218,0.007644,0.162381
970,0.038139,0.005512,0.150306
980,0.031929,0.003954,0.138225
990,0.026524,0.002832,0.126456
1000,0.021859,0.001931,0.1142
1010,0.017867,0.001307,0.102942
1020,0.014481,0.000857,0.09372
1030,0.011634,0.000556,0.08568
1040,0.009262,0.00035,0.077105
1050,0.007306,0.000217,0.069485
1060,0.005708,0.000126,0.062434
1070,0.004415,7.3e-05,0.055393
1080,0.003381,4.1e-05,0.050055
1090,0.002562,2.2e-05,0.044614
1100,0.00192,1.2e-05,0.03907
1110,0.001423,6e-06,0.033951
1120,0.001043,3e-06,0.029619
1130,0.000756,1e-06,0.025927
1140,0.000541,1e-06,0.022405
1150,0.000382,0.0,0.019316
1160,0.000267,0.0,0.016915
1170,0.000184,0.0,0.014549
1180,0.000125,0.0,0.012584
1190,8.4e-05,0.0,0.010902
1200,5.5e-05,0.0,0.009292
