vin_label,ridge_prob,risk_band,above_thr
VIN10_F_ALT,0.6263,red,True
VIN10_NF_ALT,0.4389,amber,False
VIN11_NF_ALT,0.2559,green,False
VIN12_NF_ALT,0.0421,green,False
VIN13_NF_ALT,0.2104,green,False
VIN14_NF_ALT,0.3162,green,False
VIN15_NF_ALT,0.3987,amber,False
VIN1_F_ALT,0.6058,red,True
VIN1_NF_ALT,0.2553,green,False
VIN2_F_ALT,0.6085,red,True
VIN2_NF_ALT,0.3956,amber,False
VIN3_F_ALT,0.7603,red,True
VIN3_NF_ALT,0.4906,amber,True
VIN4_F_ALT,0.4456,amber,True
VIN4_NF_ALT,0.4257,amber,False
VIN5_F_ALT,0.2799,green,False
VIN5_NF_ALT,0.325,green,False
VIN6_F_ALT,0.7112,red,True
VIN6_NF_ALT,0.4133,amber,False
VIN7_F_ALT,0.7178,red,True
VIN7_NF_ALT,0.4116,amber,False
VIN8_F_ALT,0.8923,red,True
VIN8_NF_ALT,0.3934,amber,False
VIN9_F_ALT,0.4919,amber,True
VIN9_NF_ALT,0.1053,green,False
