failed_vin,healthy_vin,score_f,score_h,outcome
VIN1_F_ALT,VIN1_NF_ALT,0.6058,0.2553,C
VIN1_F_ALT,VIN2_NF_ALT,0.6058,0.3956,C
VIN1_F_ALT,VIN3_NF_ALT,0.6058,0.4906,C
VIN1_F_ALT,VIN4_NF_ALT,0.6058,0.4257,C
VIN1_F_ALT,VIN5_NF_ALT,0.6058,0.325,C
VIN1_F_ALT,VIN6_NF_ALT,0.6058,0.4133,C
VIN1_F_ALT,VIN7_NF_ALT,0.6058,0.4116,C
VIN1_F_ALT,VIN8_NF_ALT,0.6058,0.3934,C
VIN1_F_ALT,VIN9_NF_ALT,0.6058,0.1053,C
VIN1_F_ALT,VIN10_NF_ALT,0.6058,0.4389,C
VIN1_F_ALT,VIN11_NF_ALT,0.6058,0.2559,C
VIN1_F_ALT,VIN12_NF_ALT,0.6058,0.0421,C
VIN1_F_ALT,VIN13_NF_ALT,0.6058,0.2104,C
VIN1_F_ALT,VIN14_NF_ALT,0.6058,0.3162,C
VIN1_F_ALT,VIN15_NF_ALT,0.6058,0.3987,C
VIN2_F_ALT,VIN1_NF_ALT,0.6085,0.2553,C
VIN2_F_ALT,VIN2_NF_ALT,0.6085,0.3956,C
VIN2_F_ALT,VIN3_NF_ALT,0.6085,0.4906,C
VIN2_F_ALT,VIN4_NF_ALT,0.6085,0.4257,C
VIN2_F_ALT,VIN5_NF_ALT,0.6085,0.325,C
VIN2_F_ALT,VIN6_NF_ALT,0.6085,0.4133,C
VIN2_F_ALT,VIN7_NF_ALT,0.6085,0.4116,C
VIN2_F_ALT,VIN8_NF_ALT,0.6085,0.3934,C
VIN2_F_ALT,VIN9_NF_ALT,0.6085,0.1053,C
VIN2_F_ALT,VIN10_NF_ALT,0.6085,0.4389,C
VIN2_F_ALT,VIN11_NF_ALT,0.6085,0.2559,C
VIN2_F_ALT,VIN12_NF_ALT,0.6085,0.0421,C
VIN2_F_ALT,VIN13_NF_ALT,0.6085,0.2104,C
VIN2_F_ALT,VIN14_NF_ALT,0.6085,0.3162,C
VIN2_F_ALT,VIN15_NF_ALT,0.6085,0.3987,C
VIN3_F_ALT,VIN1_NF_ALT,0.7603,0.2553,C
VIN3_F_ALT,VIN2_NF_ALT,0.7603,0.3956,C
VIN3_F_ALT,VIN3_NF_ALT,0.7603,0.4906,C
VIN3_F_ALT,VIN4_NF_ALT,0.7603,0.4257,C
VIN3_F_ALT,VIN5_NF_ALT,0.7603,0.325,C
VIN3_F_ALT,VIN6_NF_ALT,0.7603,0.4133,C
VIN3_F_ALT,VIN7_NF_ALT,0.7603,0.4116,C
VIN3_F_ALT,VIN8_NF_ALT,0.7603,0.3934,C
VIN3_F_ALT,VIN9_NF_ALT,0.7603,0.1053,C
VIN3_F_ALT,VIN10_NF_ALT,0.7603,0.4389,C
VIN3_F_ALT,VIN11_NF_ALT,0.7603,0.2559,C
VIN3_F_ALT,VIN12_NF_ALT,0.7603,0.0421,C
VIN3_F_ALT,VIN13_NF_ALT,0.7603,0.2104,C
