vin_label,failed,pct_green,pct_yellow,pct_orange,pct_red,days_green,days_yellow,days_orange,days_red,source_used,first_entry_GREEN,first_entry_YELLOW,first_entry_ORANGE,first_entry_RED
VIN10_F_ALT,1,96.51,0.0,3.49,0.0,442,0,16,0,b_monthly_components_reconstructed_M5,2024-08-31,,2025-11-24,
VIN10_NF_ALT,0,91.66,8.34,0.0,0.0,659,60,0,0,b_monthly_components_reconstructed_M5,2024-01-19,2025-07-12,,
VIN11_NF_ALT,0,86.26,8.35,0.17,5.22,496,48,1,30,b_monthly_components_reconstructed_M5,2024-01-12,2024-08-09,2024-03-12,2024-06-10
VIN12_NF_ALT,0,73.8,26.2,0.0,0.0,338,120,0,0,b_monthly_components_reconstructed_M5,2024-07-17,2025-02-12,,
VIN13_NF_ALT,0,94.8,4.87,0.0,0.34,565,29,0,2,b_monthly_components_reconstructed_M5,2024-03-22,2024-04-21,,2025-09-13
VIN14_NF_ALT,0,100.0,0.0,0.0,0.0,602,0,0,0,b_monthly_components_reconstructed_M5,2024-05-03,,,
VIN15_NF_ALT,0,71.57,23.96,4.47,0.0,448,150,28,0,b_monthly_components_reconstructed_M5,2024-01-01,2024-05-30,2024-08-28,
VIN1_F_ALT,1,55.28,15.14,26.23,3.35,314,86,149,19,b_monthly_components_reconstructed_M5,2024-05-01,2024-04-01,2025-05-26,2025-10-23
VIN1_NF_ALT,0,92.52,0.0,2.8,4.67,594,0,18,30,b_monthly_components_reconstructed_M5,2024-02-02,,2024-05-02,2024-04-02
VIN2_F_ALT,1,90.72,9.28,0.0,0.0,567,58,0,0,b_monthly_components_reconstructed_M5,2024-04-28,2024-03-29,,
VIN2_NF_ALT,0,95.63,4.37,0.0,0.0,657,30,0,0,b_monthly_components_reconstructed_M5,2024-01-22,2025-12-12,,
VIN3_F_ALT,1,94.79,5.21,0.0,0.0,546,30,0,0,b_monthly_components_reconstructed_M5,2024-02-14,2024-05-14,,
VIN3_NF_ALT,0,100.0,0.0,0.0,0.0,588,0,0,0,b_monthly_components_reconstructed_M5,2024-03-22,,,
VIN4_F_ALT,1,56.59,43.41,0.0,0.0,352,270,0,0,b_monthly_components_reconstructed_M5,2024-01-31,2024-03-31,,
VIN4_NF_ALT,0,93.25,1.93,4.82,0.0,580,12,30,0,b_monthly_components_reconstructed_M5,2024-04-03,2024-12-29,2025-12-24,
VIN5_F_ALT,1,100.0,0.0,0.0,0.0,527,0,0,0,b_monthly_components_reconstructed_M5,2024-01-31,,,
VIN5_NF_ALT,0,93.69,6.31,0.0,0.0,564,38,0,0,b_monthly_components_reconstructed_M5,2024-03-29,2024-02-28,,
VIN6_F_ALT,1,100.0,0.0,0.0,0.0,528,0,0,0,b_monthly_components_reconstructed_M5,2024-03-27,,,
VIN6_NF_ALT,0,91.5,8.5,0.0,0.0,646,60,0,0,b_monthly_components_reconstructed_M5,2024-02-22,2024-04-22,,
VIN7_F_ALT,1,100.0,0.0,0.0,0.0,543,0,0,0,b_monthly_components_reconstructed_M5,2024-01-31,,,
VIN7_NF_ALT,0,100.0,0.0,0.0,0.0,692,0,0,0,b_monthly_components_reconstructed_M5,2024-03-01,,,
VIN8_F_ALT,1,68.16,26.6,5.24,0.0,351,137,27,0,b_monthly_components_reconstructed_M5,2024-04-30,2024-09-27,2024-12-26,
VIN8_NF_ALT,0,36.12,63.88,0.0,0.0,177,313,0,0,b_monthly_components_reconstructed_M5,2024-07-28,2023-12-31,,
VIN9_F_ALT,1,100.0,0.0,0.0,0.0,550,0,0,0,b_monthly_components_reconstructed_M5,2024-04-30,,,
VIN9_NF_ALT,0,0.0,91.03,8.97,0.0,0,477,47,0,b_monthly_components_reconstructed_M5,,2024-01-01,2024-01-31,
