day,n_eo,vsi_mean,vsi_std,vsi_min,vsi_p05,vsi_p95,vsi_cv,vsi_range,vsi_entropy,vsi_sag_frac,idle_vsi_mean,cruise_vsi_mean,resting_vsi_mean,crank_vsi_min,ged2_cnt,ged2_frac,sma_starts,rpm_mean,vsi_rpm_slope,vsi_ceiling,vsi_onset_rpm,vsi_resid_mean,vsi_resid_negfrac,crank_recovery_t,crank_recovery_slope,reg_duty_frac,cranks_per_ehr,crank_dur_mean,ged1_frac,ged3_frac,ged_churn,idle_vsi_var,idle_vsi_acf1,idle_vsi_zcr,sag_highload_frac,sag_idle_frac,uv_dose_day,dtf,vin_label
6,14,28.1,0.1037753,28.0,28.0,28.200000762939453,0.0036930712,0.20000076293945312,-0.0,0.0,28.1,,21.5,18.8,0,0.0,0,616.98285,-0.0005606204153705928,,563.0399780273438,0.085714616,0.0,0.0024999999441206455,,1.0,0.0,7.5,0.0,0.020202020202020204,0,0.012000091,,,,0.0,0.0,658.0,VIN4_F_ALT
9,347,27.983286,0.49769154,19.4,27.799999237060547,28.200000762939453,0.017785314,0.40000152587890625,0.5569866075214753,0.002881844380403458,27.97255,28.096106,26.199999,19.4,0,0.0,0,837.4455,0.00012447299327190148,,418.239990234375,0.049122993,0.13596491228070176,0.06125000002793968,0.023897508351920418,0.9913544668587896,0.0,5.0,0.0,0.004562043795620438,0,0.020831361,0.12320970044763767,0.54,0.0,0.0,15.934401321042701,655.0,VIN4_F_ALT
24,4,28.1,0.11547049,28.0,28.0,28.200000762939453,0.00410927,0.20000076293945312,,0.0,,,,,0,0.0,0,601.96,,,599.8400268554688,,,,,1.0,0.0,,0.0,0.0,0,,,,,0.0,0.0,640.0,VIN4_F_ALT
25,8,28.05,0.1414219,27.8,27.869999504089357,28.200000762939453,0.005041779,0.33000125885009624,0.37677016125643675,0.0,,,,,0,0.0,0,670.4,,,598.0800170898438,,,,,1.0,0.0,,0.0,0.0,0,,,,,0.0,0.0,639.0,VIN4_F_ALT
48,75,28.085333,0.11471905,27.8,28.0,28.200000762939453,0.0040846607,0.20000076293945312,0.167944147734173,0.0,28.109093,28.092308,25.0,,0,0.0,0,829.408,2.5545791638170652e-05,,569.9199829101562,0.08823563,0.04411764705882353,,,1.0,0.0,,0.0,0.0,0,0.01090918,-0.816496580927726,0.9,0.0,0.0,0.0,616.0,VIN4_F_ALT
50,170,28.085882,0.110569626,27.8,28.0,28.200000762939453,0.00393684,0.20000076293945312,0.13269142083987176,0.0,28.085295,28.066666,24.571428,,0,0.0,0,655.0306,1.75362305032829e-05,28.2,434.0799865722656,0.08481045,0.03164556962025317,,,1.0,0.0,,0.0,0.0,0,0.012226694,-0.5971830552090831,0.9111111111111111,0.0,0.0,0.0,614.0,VIN4_F_ALT
51,71,27.966196,0.75364727,21.8,27.799999237060547,28.200000762939453,0.026948508,0.40000152587890625,0.355382896246011,0.014084507042253521,28.054287,,24.209524,21.8,0,0.0,0,598.63434,,,590.0800170898438,-0.03428552,0.12857142857142856,0.0,,0.9859154929577465,0.0,5.0,0.0,0.0,0,0.01730023,-0.16023738872403548,0.7536231884057971,,0.014285714285714285,66.0000228881836,613.0,VIN4_F_ALT
52,155,28.015484,0.20069455,26.2,27.799999237060547,28.200000762939453,0.0071637006,0.40000152587890625,0.5002034694201629,0.0,28.015484,,25.0,,0,0.0,0,600.06195,,,587.0399780273438,0.016000113,0.18666666666666668,,,0.9935483870967742,0.0,,0.0,0.0,0,0.04027841,-0.013030602034819086,0.6233766233766234,,0.0,0.0,612.0,VIN4_F_ALT
53,53,27.969812,0.13809875,27.8,27.799999237060547,28.200000762939453,0.004937421,0.40000152587890625,0.6274370336771098,0.0,27.963999,,25.2,,0,0.0,0,602.723,0.0008997671769817619,,406.239990234375,-0.030769348,0.3269230769230769,,,1.0,0.0,,0.0,0.0,0,0.019085811,-0.07313604273341391,0.673469387755102,,0.0,0.0,611.0,VIN4_F_ALT
55,81,28.004936,0.15484013,27.4,27.799999237060547,28.200000762939453,0.0055290298,0.40000152587890625,0.5773860113190779,0.0,28.004936,,23.925,20.2,0,0.0,0,605.83905,-0.0001269611069181053,,576.1599731445312,0.0025641369,0.23076923076923078,0.0,0.0004747218992588071,1.0,0.0,5.0,0.0,0.0,0,0.023975624,0.06889697278904967,0.5375,0.0,0.0,0.0,609.0,VIN4_F_ALT
56,93,27.875267,0.30204242,25.6,27.600000381469727,28.200000762939453,0.010835499,0.6000003814697266,0.9603058851637107,0.0,27.874157,,24.475863,,0,0.0,0,636.8671,3.425878995462893e-05,,595.6799926757812,-0.12391329,0.4673913043478261,,,0.978494623655914,0.0,,0.0,0.0,0,0.09489279,0.2801041378827127,0.7272727272727273,,0.0,0.0,608.0,VIN4_F_ALT
57,225,27.890667,0.15455025,26.6,27.799999237060547,28.0,0.005541289,0.20000076293945312,0.8205015741290685,0.0,27.891323,,25.0,,0,0.0,0,602.24426,0.0002027113684272579,,436.0,-0.11121531,0.5186915887850467,,,0.9955555555555555,0.0,,0.0,0.0,0,0.02391518,-0.21500084066910066,0.9174311926605505,0.0,0.0,0.0,607.0,VIN4_F_ALT
58,146,27.954794,0.18757372,26.4,27.799999237060547,28.200000762939453,0.0067098946,0.40000152587890625,0.6715202282945906,0.0,27.954794,,,,0,0.0,0,600.3244,,,594.8800048828125,-0.04571442,0.34285714285714286,,,0.9931506849315068,0.0,,0.0,0.0,0,0.035184003,-0.06170489507192925,0.6689655172413793,,0.0,0.0,606.0,VIN4_F_ALT
59,141,27.960283,0.13568895,27.8,27.799999237060547,28.200000762939453,0.0048529175,0.40000152587890625,0.6458964599105625,0.0,27.96,,,,0,0.0,0,608.8908,,28.0,558.0800170898438,-0.040579867,0.35507246376811596,,,1.0,0.0,,0.0,0.0,0,0.018532416,-0.0720992622401072,0.6906474820143885,,0.0,0.0,605.0,VIN4_F_ALT
60,94,27.893618,0.31819686,25.6,27.799999237060547,28.200000762939453,0.011407515,0.40000152587890625,0.8261670485231332,0.0,27.876192,,23.2,20.8,0,0.0,0,724.44763,0.0006701137125780297,28.1,327.0400085449219,-0.113978766,0.44086021505376344,0.005000000121071935,0.032506590096697895,0.9787234042553191,0.0,5.0,0.0,0.0,0,0.1040044,-0.040669275240503205,0.8554216867469879,,0.0,0.0,604.0,VIN4_F_ALT
61,244,27.884426,0.4436142,22.2,27.799999237060547,28.200000762939453,0.015909031,0.40000152587890625,0.8359433675663416,0.004098360655737705,27.866995,27.9,24.371428,20.8,0,0.0,0,677.79865,0.00019038881256210172,,542.4000244140625,-0.12066141,0.43388429752066116,0.0,,0.9836065573770492,0.0,5.0,0.0,0.0,0,0.23113295,-0.058747258002502335,0.806930693069307,0.0,0.004524886877828055,3.8933983500771223,603.0,VIN4_F_ALT
62,25,27.88,0.115470305,27.6,27.799999237060547,28.0,0.0041416897,0.20000076293945312,0.8300282389569186,0.0,27.875,,,,0,0.0,0,615.6096,0.00039669699124876757,,588.7999877929688,-0.120000385,0.56,,,1.0,0.0,,0.0,0.0,0,0.01326101,-0.4709329017058528,0.8695652173913043,,0.0,0.0,602.0,VIN4_F_ALT
63,140,27.914286,0.26295835,25.4,27.799999237060547,28.200000762939453,0.009420207,0.40000152587890625,0.7832930728836727,0.0,27.868181,,,,0,0.0,0,897.23083,9.789078347841729e-05,,586.8800048828125,-0.12408795,0.48175182481751827,,,0.9928571428571429,0.0,,0.0,0.0,0,0.09276901,0.16320387463685648,0.9195402298850575,,0.0,0.0,601.0,VIN4_F_ALT
64,558,27.885305,0.30607122,21.6,27.799999237060547,28.0,0.010976075,0.20000076293945312,0.7679749536272427,0.0017921146953405018,27.885069,27.90439,25.5,21.6,0,0.0,0,780.0158,8.224470447573191e-05,27.960001,527.8400268554688,-0.10183859,0.4889705882352941,0.0,0.006632168255592217,0.992831541218638,0.0,5.0,0.0,0.0,0,0.031276077,-0.30121208849910597,0.9045454545454545,0.0,0.0028089887640449437,1.3535997848823667,600.0,VIN4_F_ALT
65,970,27.938763,0.32368276,22.0,27.799999237060547,28.200000762939453,0.011585437,0.40000152587890625,0.7271995696846277,0.002061855670103093,27.924824,28.0,25.08889,19.6,0,0.0,0,798.29047,0.00015911160079775313,27.96923,366.7200012207031,-0.03588053,0.33665559246954596,0.0,-0.00343471749354097,0.9917525773195877,0.0,5.0,0.0,0.0,0,0.052818377,-0.04545819338642879,0.7298578199052133,0.0,0.0017421602787456446,0.45599988923966883,599.0,VIN4_F_ALT
66,1215,27.908642,0.24173212,22.8,27.799999237060547,28.200000762939453,0.0086615505,0.40000152587890625,0.7862035963035712,0.0008230452674897119,27.900972,27.918428,25.074286,,0,0.0,0,936.0572,4.379603462600666e-05,27.937662,89.91999816894531,-0.08588362,0.43956043956043955,,,0.9901234567901235,0.0,,0.0,0.0,0,0.08613546,0.11286460156784085,0.685064935064935,0.0,0.0,3.0684019508719445,598.0,VIN4_F_ALT
67,1167,27.886032,0.37366393,22.0,27.799999237060547,28.200000762939453,0.013399681,0.40000152587890625,0.8172740440345394,0.003427592116538132,27.889608,27.908333,25.054922,22.0,0,0.0,0,878.3502,8.569700086963828e-05,27.927776,340.9599914550781,-0.098340906,0.4585152838427948,0.0,0.012457034832050856,0.988860325621251,0.0,5.0,0.0,0.0,0,0.14139654,0.054282523678293254,0.7152777777777778,0.0,0.004838709677419355,1.8004008311949669,597.0,VIN4_F_ALT
68,1777,27.982893,0.26673725,21.4,27.799999237060547,28.200000762939453,0.009532155,0.40000152587890625,0.6083743441485859,0.0011254924029262803,28.032923,27.946909,25.933334,,0,0.0,0,785.184,-8.635555140172264e-05,27.972,156.9600067138672,-0.009839844,0.26887871853546913,,,0.9977490151941475,0.0,,0.0,0.0,0,0.022816682,-0.018480734523446726,0.6771300448430493,0.0,0.0,53.590204530460014,596.0,VIN4_F_ALT
69,1143,27.897638,0.19409792,24.0,27.799999237060547,28.0,0.0069575035,0.20000076293945312,0.7617914099545564,0.0,27.884098,27.901745,24.91111,,0,0.0,0,929.09436,4.1287339353171695e-05,27.928204,422.55999755859375,-0.1035654,0.482174688057041,,,0.9956255468066492,0.0,,0.0,0.0,0,0.10850516,0.21865348373032695,0.7836879432624113,0.0,0.0,0.0,595.0,VIN4_F_ALT
70,612,27.928104,0.24339613,23.2,27.799999237060547,28.200000762939453,0.008715097,0.40000152587890625,0.7133169989038375,0.0016339869281045752,27.920218,27.92744,26.2,,0,0.0,0,863.7438,0.00010514115438999986,27.951723,446.0799865722656,-0.064559296,0.40099833610648916,,,0.9967320261437909,0.0,,0.0,0.0,0,0.16261092,-0.03417547967615863,0.6593406593406593,0.0,0.0,0.4167996024683118,594.0,VIN4_F_ALT
71,452,27.995575,0.3339982,22.6,27.799999237060547,28.200000762939453,0.011930393,0.40000152587890625,0.5718755556708002,0.0022123893805309734,28.023788,27.961288,25.176744,21.8,0,0.0,0,872.31995,-7.279806382075856e-05,28.021276,259.5199890136719,0.008755838,0.21428571428571427,0.0024999999441206455,0.013637663736059513,0.9911504424778761,0.0,5.0,0.0,0.0,0,0.07217503,-0.007624674237377619,0.7300884955752213,0.0,0.0036900369003690036,1.1073996982131153,593.0,VIN4_F_ALT
72,187,27.951872,0.7255953,22.0,27.799999237060547,28.200000762939453,0.025958737,0.40000152587890625,0.5176485164673399,0.016042780748663103,28.033646,28.017393,24.754011,22.0,0,0.0,0,833.8695,7.38627200659477e-05,28.155556,313.2799987792969,0.037988994,0.1340782122905028,0.0,0.008303305866269298,0.983957219251337,0.0,5.0,0.0,0.0,0,0.017725324,-0.10771704180064273,0.6415094339622641,0.0,0.025423728813559324,13.099996635064484,592.0,VIN4_F_ALT
73,619,27.976736,0.40351427,21.6,27.799999237060547,28.200000762939453,0.014423207,0.40000152587890625,0.6023617346052561,0.0032310177705977385,28.031443,27.969433,25.268293,21.6,0,0.0,0,799.0891,3.737618138530892e-05,28.079998,483.8399963378906,0.008754242,0.24074074074074073,0.0,0.0013526797310116287,0.9903069466882067,0.0,5.0,0.0,0.0,0,0.04251632,0.01781050582246283,0.6929824561403509,0.0,0.005037783375314861,3.1571994475547225,591.0,VIN4_F_ALT
74,233,28.007725,0.21521969,25.6,27.799999237060547,28.200000762939453,0.0076842974,0.40000152587890625,0.5502516214713294,0.0,27.992592,28.008333,25.9,,0,0.0,0,728.5294,0.00010935181658179424,27.8,319.20001220703125,0.021834144,0.1965065502183406,,,0.9957081545064378,0.0,,0.0,0.0,0,0.0629301,-0.057758360065613426,0.4552238805970149,0.0,0.0,0.0,590.0,VIN4_F_ALT
75,332,28.004818,0.1415531,27.8,27.799999237060547,28.200000762939453,0.005054598,0.40000152587890625,0.5487074960461351,0.0,27.998034,28.1,24.783674,,0,0.0,0,627.187,0.0001729020562572197,,579.6799926757812,0.0067692567,0.23384615384615384,,,1.0,0.0,,0.0,0.0,0,0.020127598,0.006300267403440995,0.5,0.0,0.0,0.0,589.0,VIN4_F_ALT
76,170,27.941177,0.4200014,22.8,27.799999237060547,28.200000762939453,0.015031628,0.40000152587890625,0.6589023589547054,0.0058823529411764705,27.97143,,,,0,0.0,0,608.671,0.0004950491337979618,,573.5999755859375,-0.030303147,0.3212121212121212,,,0.9941176470588236,0.0,,0.0,0.0,0,0.019298611,-0.0449655015370549,0.6467065868263473,,0.0,4.142402633725107,588.0,VIN4_F_ALT
77,284,27.98169,0.19156072,26.6,27.799999237060547,28.200000762939453,0.006845931,0.40000152587890625,0.6320807376582955,0.0,27.97834,,24.9,,0,0.0,0,621.8282,0.0002589416824668251,28.2,562.0800170898438,-0.020224739,0.2696629213483146,,,0.9929577464788732,0.0,,0.0,0.0,0,0.036920544,0.02252948093152126,0.5217391304347826,,0.0,0.0,587.0,VIN4_F_ALT
78,1041,27.899136,0.2079416,22.6,27.799999237060547,28.0,0.007453335,0.20000076293945312,0.7446828649280041,0.0009606147934678194,27.907236,27.898533,24.961905,22.6,0,0.0,0,862.84955,2.7921465539570543e-05,27.93158,435.8399963378906,-0.10155676,0.48735408560311283,0.0016666667070239782,0.0008919242434829734,0.9971181556195965,0.0,5.0,0.0,0.0,0,0.027934192,-0.1757687764892929,0.8415841584158416,0.0,0.0016750418760469012,0.4003998910117894,586.0,VIN4_F_ALT
79,1294,27.901855,0.35148087,21.2,27.799999237060547,28.200000762939453,0.012597043,0.40000152587890625,0.7931731784458064,0.00231839258114374,27.861904,27.936434,25.148838,22.0,0,0.0,0,884.0971,0.00010511618341253935,27.937931,413.2799987792969,-0.08548796,0.4274385408406027,0.0024999999441206455,0.011478286788379151,0.9884080370942813,0.0,5.0,0.0,0.0,0,0.15004888,0.13608491539688877,0.8042959427207638,0.0,0.0015037593984962407,8.106398128580675,585.0,VIN4_F_ALT
80,1278,27.948984,0.24732532,22.4,27.799999237060547,28.200000762939453,0.00884917,0.40000152587890625,0.6830831920820418,0.000782472613458529,28.007883,27.912794,25.302565,,0,0.0,0,832.7128,-6.437730144331212e-05,27.970001,404.79998779296875,-0.04571905,0.35218093699515346,,,0.9953051643192489,0.0,,0.0,0.0,0,0.06954295,0.050670564389506484,0.6361746361746362,0.0,0.0,0.46400011068582536,584.0,VIN4_F_ALT
81,1056,27.892801,0.3645232,21.0,27.799999237060547,28.200000762939453,0.01306872,0.40000152587890625,0.7662018503072435,0.002840909090909091,27.848034,27.917917,25.130613,21.0,0,0.0,0,879.23047,9.738056820357458e-05,27.934483,376.4800109863281,-0.09769261,0.4567307692307692,0.0,-0.0014553258924335777,0.9924242424242424,0.0,5.0,0.0,0.0,0,0.2252268,0.020044837333099457,0.8333333333333334,0.0,0.006060606060606061,2.2178002795547247,583.0,VIN4_F_ALT
82,1147,27.939144,0.22127764,22.6,27.799999237060547,28.200000762939453,0.007919987,0.40000152587890625,0.7094679894123441,0.0008718395815170009,27.918919,27.9556,24.61,20.8,0,0.0,0,923.79315,5.269534103093361e-05,27.95873,550.5599975585938,-0.055694144,0.3807829181494662,0.0,0.014630132821827506,0.997384481255449,0.0,5.0,0.0,0.0,0,0.049504995,-0.04994228879445056,0.7420814479638009,0.0,0.0,1.0569997118338943,582.0,VIN4_F_ALT
83,358,27.964806,0.25002292,25.0,27.799999237060547,28.200000762939453,0.008940628,0.40000152587890625,0.6705794752055205,0.0,27.956339,27.97143,24.826866,,0,0.0,0,840.10144,6.925389984520197e-05,28.053333,376.32000732421875,-0.03724935,0.3037249283667622,,,0.9916201117318436,0.0,,0.0,0.0,0,0.12772562,0.035519504171660034,0.45390070921985815,0.0,0.0,0.0,581.0,VIN4_F_ALT
84,267,27.88015,0.4022718,23.0,27.799999237060547,28.200000762939453,0.01442861,0.40000152587890625,0.8234135602069593,0.003745318352059925,27.789333,27.907526,25.073685,20.6,0,0.0,0,844.49255,9.517634741310154e-05,27.953846,519.0399780273438,-0.117187776,0.44921875,0.0,-0.140644442540107,0.9775280898876404,0.0,5.0,0.0,0.0,0,0.53718174,-0.07287259162046109,0.1891891891891892,0.0,0.006097560975609756,25.962000000057742,580.0,VIN4_F_ALT
85,369,27.953386,0.24000858,25.8,27.799999237060547,28.200000762939453,0.008586029,0.40000152587890625,0.7296170650400817,0.0,27.913334,27.984615,24.733332,,0,0.0,0,827.11456,0.00013239127647088372,27.977777,423.3599853515625,-0.046866566,0.31607629427792916,,,0.989159891598916,0.0,,0.0,0.0,0,0.1108281,0.2929780679639491,0.610738255033557,0.0,0.0,0.0,579.0,VIN4_F_ALT
86,49,27.734694,0.94285727,21.8,26.879999542236327,28.200000762939453,0.03399559,1.3200012207031264,1.0032188058924283,0.02040816326530612,27.858332,,24.880001,21.8,0,0.0,0,593.95593,-0.030972711803212285,,590.4000244140625,-0.14583354,0.4375,0.0,-0.003520609425406165,0.9387755102040817,0.0,5.0,0.0,0.0,0,0.14290805,0.004875759804829841,0.7446808510638298,,0.020833333333333332,56.9272197421819,578.0,VIN4_F_ALT
87,84,27.869047,0.2643366,26.2,27.799999237060547,28.0,0.009484952,0.20000076293945312,0.9128283979287487,0.0,27.869047,,19.6,19.6,0,0.0,0,600.46857,,,581.9199829101562,-0.13170761,0.47560975609756095,0.006000000052154064,0.0029715107977814764,0.9761904761904762,0.0,5.0,0.0,0.0,0,0.06987388,0.09673189550633081,0.8795180722891566,,0.0,0.0,577.0,VIN4_F_ALT
88,24,27.85,0.15879993,27.6,27.600000381469727,28.0,0.005701972,0.39999961853027344,1.024010220294295,0.0,27.85,,,,0,0.0,0,598.9667,,,589.1199951171875,-0.15000026,0.625,,,1.0,0.0,,0.0,0.0,0,0.025217619,0.20937520562754275,0.5217391304347826,,0.0,0.0,576.0,VIN4_F_ALT
89,59,27.854239,0.16950445,27.0,27.600000381469727,28.0,0.0060854093,0.39999961853027344,0.9958287749433258,0.0,27.854239,,,,0,0.0,0,599.9647,,,596.1599731445312,-0.14576304,0.576271186440678,,,1.0,0.0,,0.0,0.0,0,0.028731681,-0.005596792725238942,0.8103448275862069,,0.0,0.0,575.0,VIN4_F_ALT
90,159,27.927044,0.22095494,26.0,27.799999237060547,28.200000762939453,0.007911863,0.40000152587890625,0.7330071038041674,0.0,27.927519,,,,0,0.0,0,637.0727,-3.217080232498639e-05,28.0,595.0399780273438,-0.075471915,0.4025157232704403,,,0.9874213836477987,0.0,,0.0,0.0,0,0.051467393,0.01432861892114552,0.722972972972973,,0.0,0.0,574.0,VIN4_F_ALT
91,592,27.920944,0.32090273,22.6,27.799999237060547,28.200000762939453,0.011493262,0.40000152587890625,0.7344339648767991,0.0033783783783783786,27.939856,27.896122,25.442858,22.6,0,0.0,0,802.8424,-1.403736261822022e-05,27.885714,397.760009765625,-0.070811965,0.40241796200345425,0.0,-0.029659785681049017,0.9949324324324325,0.0,5.0,0.0,0.0,0,0.102405585,0.01798676643377509,0.6327272727272727,0.0,0.005291005291005291,5.772202585459873,573.0,VIN4_F_ALT
92,314,27.936943,0.3826572,22.6,27.799999237060547,28.200000762939453,0.013697175,0.40000152587890625,0.7127084252772352,0.0031847133757961785,27.856339,27.966972,24.92624,22.6,0,0.0,0,973.7707,0.00011085754439392299,28.057144,338.7200012207031,-0.04451622,0.3193548387096774,0.0,0.016355318774206398,0.9840764331210191,0.0,5.0,0.0,0.0,0,0.16478059,-0.02025323931839251,0.6714285714285714,0.0,0.006211180124223602,0.6033998357247561,572.0,VIN4_F_ALT
