vin_label,failure_status,trusted_days,data_span_days,earliest_detection_horizon,detecting_feature,n_discriminative_features,compound_fired,ged2_total
VIN1_F_ALT,FAILED,499,554,60,crank_recovery_t,15,True,82357
VIN2_F_ALT,FAILED,554,606,14,crank_vsi_min,19,True,0
VIN3_F_ALT,FAILED,531,591,none,,0,False,0
VIN4_F_ALT,FAILED,501,655,none,,4,False,0
VIN5_F_ALT,FAILED,462,661,none,,1,False,0
VIN6_F_ALT,FAILED,471,552,60,vsi_sag_frac,3,False,0
VIN7_F_ALT,FAILED,463,671,none,,0,False,0
VIN8_F_ALT,FAILED,436,573,7,crank_recovery_t,9,True,0
VIN9_F_ALT,FAILED,514,597,30,crank_recovery_t,2,False,0
VIN10_F_ALT,FAILED,416,461,7,vsi_sag_frac,11,True,2897
VIN1_NF_ALT,NON_FAILED,555,744,none,,0,False,
VIN2_NF_ALT,NON_FAILED,623,757,none,,0,False,
VIN3_NF_ALT,NON_FAILED,545,688,none,,0,False,
VIN4_NF_ALT,NON_FAILED,556,680,none,,0,False,
VIN5_NF_ALT,NON_FAILED,519,719,none,,0,False,
VIN6_NF_ALT,NON_FAILED,639,719,none,,0,False,
VIN7_NF_ALT,NON_FAILED,614,716,none,,0,False,
VIN8_NF_ALT,NON_FAILED,463,510,none,,0,False,
VIN9_NF_ALT,NON_FAILED,504,572,none,,0,False,
VIN10_NF_ALT,NON_FAILED,672,760,none,,0,False,
VIN11_NF_ALT,NON_FAILED,516,758,none,,0,False,
VIN12_NF_ALT,NON_FAILED,436,575,none,,0,False,
VIN13_NF_ALT,NON_FAILED,482,687,none,,0,False,
VIN14_NF_ALT,NON_FAILED,526,655,none,,0,False,
VIN15_NF_ALT,NON_FAILED,546,631,none,,0,False,
